ServerId,ChargerId,Length,MessageType,SequenceNumber,DataLength,DeviceStatus_type,DeviceStatus,AccessId_type,AccessId,ChargerNumber_type,ChargerNumber,RegDt,Send,msgId
00,D88039EC48E0,000E,15,0E,0A,01,0A,09,1066533632,33,0378,2021-08-24 19:20:11,R,315887404
00,D88039EC48E0,000E,15,0F,0A,01,0A,09,1066533632,33,0378,2021-08-24 19:30:12,R,315893574
00,D88039EC48E0,000E,15,10,0A,01,0A,09,1066533632,33,0378,2021-08-24 19:40:13,R,315899792
00,D88039EC48E0,000E,15,11,0A,01,0A,09,1066533632,33,0378,2021-08-24 19:50:14,R,315905986
00,D88039EC48E0,000E,15,12,0A,01,0A,09,1066533632,33,0378,2021-08-24 20:00:15,R,315912150
00,D88039EC48E0,000E,15,13,0A,01,0A,09,1066533632,33,0378,2021-08-24 20:10:15,R,315918468
00,D88039EC48E0,000E,15,14,0A,01,0A,09,1066533632,33,0378,2021-08-24 20:20:16,R,315924822
00,D88039EC48E0,000E,15,15,0A,01,0A,09,1066533632,33,0378,2021-08-24 20:30:17,R,315931210
00,D88039EC48E0,000E,15,16,0A,01,0A,09,1066533632,33,0378,2021-08-24 20:40:18,R,315937596
00,D88039EC48E0,000E,15,17,0A,01,0A,09,1066533632,33,0378,2021-08-24 20:50:19,R,315943853
00,D88039EC48E0,000E,15,18,0A,01,0A,09,1066533632,33,0378,2021-08-24 21:00:20,R,315950144
00,D88039EC48E0,000E,15,19,0A,01,0A,09,1066533632,33,0378,2021-08-24 21:10:20,R,315956390
00,D88039EC48E0,000E,15,1A,0A,01,0A,09,1066533632,33,0378,2021-08-24 21:20:21,R,315962651
00,D88039EC48E0,000E,15,1B,0A,01,0A,09,1066533632,33,0378,2021-08-24 21:30:22,R,315969007
00,D88039EC48E0,000E,15,1C,0A,01,0A,09,1066533632,33,0378,2021-08-24 21:40:23,R,315975389
00,D88039EC48E0,000E,15,1D,0A,01,0A,09,1066533632,33,0378,2021-08-24 21:50:24,R,315981736
00,D88039EC48E0,000E,15,1E,0A,01,0A,09,1066533632,33,0378,2021-08-24 22:00:25,R,315988079
00,D88039EC48E0,000E,15,1F,0A,01,0A,09,1066533632,33,0378,2021-08-24 22:10:26,R,315994476
00,D88039EC48E0,000E,15,20,0A,01,0A,09,1066533632,33,0378,2021-08-24 22:20:26,R,316000901
00,D88039EC48E0,000E,15,21,0A,01,0A,09,1066533632,33,0378,2021-08-24 22:30:27,R,316007314
00,D88039EC48E0,000E,15,22,0A,01,0A,09,1066533632,33,0378,2021-08-24 22:40:28,R,316013601
00,D88039EC48E0,000E,15,23,0A,01,0A,09,1066533632,33,0378,2021-08-24 22:50:29,R,316019905
00,D88039EC48E0,000E,15,24,0A,01,0A,09,1066533632,33,0378,2021-08-24 23:00:30,R,316026357
